game_id,game_date,home_team,away_team,y_true_home_win,p_model,p_oof,p_market,odds_decimal,source_prediction_ref,source_odds_ref,paper_only,production_ready
PHI-20240417-0,2024-04-17,PHI,COL,1,,,,,,,True,False
BAL-20240417-0,2024-04-17,BAL,MIN,1,,,,,,,True,False
BOS-20240417-0,2024-04-17,BOS,CLE,1,,,,,,,True,False
CHA-20240417-1,2024-04-17,CHA,KCA,0,,,,,,,True,False
CHA-20240417-2,2024-04-17,CHA,KCA,1,,,,,,,True,False
DET-20240417-0,2024-04-17,DET,TEX,0,,,,,,,True,False
HOU-20240417-0,2024-04-17,HOU,ATL,0,,,,,,,True,False
OAK-20240417-0,2024-04-17,OAK,SLN,1,,,,,,,True,False
SEA-20240417-0,2024-04-17,SEA,CIN,1,,,,,,,True,False
TBA-20240417-0,2024-04-17,TBA,ANA,0,,,,,,,True,False
TOR-20240417-0,2024-04-17,TOR,NYA,0,,,,,,,True,False
SFN-20240418-0,2024-04-18,SFN,ARI,1,,,,,,,True,False
BOS-20240418-0,2024-04-18,BOS,CLE,0,,,,,,,True,False
DET-20240418-0,2024-04-18,DET,TEX,0,,,,,,,True,False
TBA-20240418-0,2024-04-18,TBA,ANA,1,,,,,,,True,False
ATL-20240419-0,2024-04-19,ATL,TEX,1,,,,,,,True,False
CHN-20240419-0,2024-04-19,CHN,MIA,1,,,,,,,True,False
CIN-20240419-0,2024-04-19,CIN,ANA,1,,,,,,,True,False
LAN-20240419-0,2024-04-19,LAN,NYN,0,,,,,,,True,False
PHI-20240419-0,2024-04-19,PHI,CHA,1,,,,,,,True,False
PIT-20240419-0,2024-04-19,PIT,BOS,0,,,,,,,True,False
SDN-20240419-0,2024-04-19,SDN,TOR,0,,,,,,,True,False
SFN-20240419-0,2024-04-19,SFN,ARI,0,,,,,,,True,False
SLN-20240419-0,2024-04-19,SLN,MIL,0,,,,,,,True,False
WAS-20240419-0,2024-04-19,WAS,HOU,0,,,,,,,True,False
CLE-20240419-0,2024-04-19,CLE,OAK,1,,,,,,,True,False
KCA-20240419-0,2024-04-19,KCA,BAL,1,,,,,,,True,False
