"game_id","game_date","season","away_team","home_team","source_name","source_row_number","away_score","home_score","y_true_home_win"
"LAN-20240414-0","2024-04-14",2024,"SDN","LAN","Retrosheet",222,6,3,0
"MIA-20240414-0","2024-04-14",2024,"ATL","MIA","Retrosheet",223,9,7,0
"NYN-20240414-0","2024-04-14",2024,"KCA","NYN","Retrosheet",224,1,2,1
"PHI-20240414-0","2024-04-14",2024,"PIT","PHI","Retrosheet",225,9,2,0
"BAL-20240414-0","2024-04-14",2024,"MIL","BAL","Retrosheet",226,4,6,1
"BOS-20240414-0","2024-04-14",2024,"ANA","BOS","Retrosheet",227,4,5,1
"CHA-20240414-0","2024-04-14",2024,"CIN","CHA","Retrosheet",228,11,4,0
"CLE-20240414-0","2024-04-14",2024,"NYA","CLE","Retrosheet",229,7,8,1
"DET-20240414-0","2024-04-14",2024,"MIN","DET","Retrosheet",230,3,4,1
"HOU-20240414-0","2024-04-14",2024,"TEX","HOU","Retrosheet",231,5,8,1
"OAK-20240414-0","2024-04-14",2024,"WAS","OAK","Retrosheet",232,6,7,1
"SEA-20240414-0","2024-04-14",2024,"CHN","SEA","Retrosheet",233,3,2,0
"TBA-20240414-0","2024-04-14",2024,"SFN","TBA","Retrosheet",234,4,9,1
"TOR-20240414-0","2024-04-14",2024,"COL","TOR","Retrosheet",235,0,5,1
"ARI-20240415-0","2024-04-15",2024,"CHN","ARI","Retrosheet",236,3,2,0
"LAN-20240415-0","2024-04-15",2024,"WAS","LAN","Retrosheet",237,6,4,0
"MIA-20240415-0","2024-04-15",2024,"SFN","MIA","Retrosheet",238,4,3,0
"MIL-20240415-0","2024-04-15",2024,"SDN","MIL","Retrosheet",239,7,3,0
"NYN-20240415-0","2024-04-15",2024,"PIT","NYN","Retrosheet",240,3,6,1
"PHI-20240415-0","2024-04-15",2024,"COL","PHI","Retrosheet",241,1,2,1
"BAL-20240415-0","2024-04-15",2024,"MIN","BAL","Retrosheet",242,4,7,1
"BOS-20240415-0","2024-04-15",2024,"CLE","BOS","Retrosheet",243,6,0,0
"CHA-20240415-0","2024-04-15",2024,"KCA","CHA","Retrosheet",244,2,0,0
"DET-20240415-0","2024-04-15",2024,"TEX","DET","Retrosheet",245,1,0,0
"HOU-20240415-0","2024-04-15",2024,"ATL","HOU","Retrosheet",246,6,1,0
"OAK-20240415-0","2024-04-15",2024,"SLN","OAK","Retrosheet",247,3,1,0
"SEA-20240415-0","2024-04-15",2024,"CIN","SEA","Retrosheet",248,3,9,1
"TBA-20240415-0","2024-04-15",2024,"ANA","TBA","Retrosheet",249,7,3,0
"TOR-20240415-0","2024-04-15",2024,"NYA","TOR","Retrosheet",250,1,3,1
"ARI-20240416-0","2024-04-16",2024,"CHN","ARI","Retrosheet",251,11,12,1
"LAN-20240416-0","2024-04-16",2024,"WAS","LAN","Retrosheet",252,2,6,1
"MIA-20240416-0","2024-04-16",2024,"SFN","MIA","Retrosheet",253,3,6,1
"MIL-20240416-0","2024-04-16",2024,"SDN","MIL","Retrosheet",254,6,3,0
"NYN-20240416-0","2024-04-16",2024,"PIT","NYN","Retrosheet",255,1,3,1
"PHI-20240416-0","2024-04-16",2024,"COL","PHI","Retrosheet",256,0,5,1
"BAL-20240416-0","2024-04-16",2024,"MIN","BAL","Retrosheet",257,3,11,1
