"game_id","game_date","season","away_team","home_team","source_name","source_row_number"
"DET-20240414-0","2024-04-14",2024,"MIN","DET","Retrosheet",230
"HOU-20240414-0","2024-04-14",2024,"TEX","HOU","Retrosheet",231
"OAK-20240414-0","2024-04-14",2024,"WAS","OAK","Retrosheet",232
"SEA-20240414-0","2024-04-14",2024,"CHN","SEA","Retrosheet",233
"TBA-20240414-0","2024-04-14",2024,"SFN","TBA","Retrosheet",234
"TOR-20240414-0","2024-04-14",2024,"COL","TOR","Retrosheet",235
"ARI-20240415-0","2024-04-15",2024,"CHN","ARI","Retrosheet",236
"LAN-20240415-0","2024-04-15",2024,"WAS","LAN","Retrosheet",237
"MIA-20240415-0","2024-04-15",2024,"SFN","MIA","Retrosheet",238
"MIL-20240415-0","2024-04-15",2024,"SDN","MIL","Retrosheet",239
"NYN-20240415-0","2024-04-15",2024,"PIT","NYN","Retrosheet",240
"PHI-20240415-0","2024-04-15",2024,"COL","PHI","Retrosheet",241
"BAL-20240415-0","2024-04-15",2024,"MIN","BAL","Retrosheet",242
"BOS-20240415-0","2024-04-15",2024,"CLE","BOS","Retrosheet",243
"CHA-20240415-0","2024-04-15",2024,"KCA","CHA","Retrosheet",244
"DET-20240415-0","2024-04-15",2024,"TEX","DET","Retrosheet",245
"HOU-20240415-0","2024-04-15",2024,"ATL","HOU","Retrosheet",246
"OAK-20240415-0","2024-04-15",2024,"SLN","OAK","Retrosheet",247
"SEA-20240415-0","2024-04-15",2024,"CIN","SEA","Retrosheet",248
"TBA-20240415-0","2024-04-15",2024,"ANA","TBA","Retrosheet",249
"TOR-20240415-0","2024-04-15",2024,"NYA","TOR","Retrosheet",250
"ARI-20240416-0","2024-04-16",2024,"CHN","ARI","Retrosheet",251
"LAN-20240416-0","2024-04-16",2024,"WAS","LAN","Retrosheet",252
"MIA-20240416-0","2024-04-16",2024,"SFN","MIA","Retrosheet",253
"MIL-20240416-0","2024-04-16",2024,"SDN","MIL","Retrosheet",254
"NYN-20240416-0","2024-04-16",2024,"PIT","NYN","Retrosheet",255
"PHI-20240416-0","2024-04-16",2024,"COL","PHI","Retrosheet",256
"BAL-20240416-0","2024-04-16",2024,"MIN","BAL","Retrosheet",257
"BOS-20240416-0","2024-04-16",2024,"CLE","BOS","Retrosheet",258
"DET-20240416-0","2024-04-16",2024,"TEX","DET","Retrosheet",259
"HOU-20240416-0","2024-04-16",2024,"ATL","HOU","Retrosheet",260
"OAK-20240416-0","2024-04-16",2024,"SLN","OAK","Retrosheet",261
"SEA-20240416-0","2024-04-16",2024,"CIN","SEA","Retrosheet",262
"TBA-20240416-0","2024-04-16",2024,"ANA","TBA","Retrosheet",263
