"game_id","game_date","season","away_team","home_team","away_score","home_score","y_true_home_win","source_name","source_row_number"
"TOR-20240410-0","2024-04-10",2024,"SEA","TOR",6,1,0,"Retrosheet",184
"ATL-20240411-0","2024-04-11",2024,"NYN","ATL",16,4,0,"Retrosheet",185
"PHI-20240411-0","2024-04-11",2024,"PIT","PHI",1,5,1,"Retrosheet",186
"BOS-20240411-0","2024-04-11",2024,"BAL","BOS",9,4,0,"Retrosheet",187
"KCA-20240411-0","2024-04-11",2024,"HOU","KCA",3,13,1,"Retrosheet",188
"TEX-20240411-0","2024-04-11",2024,"OAK","TEX",1,0,0,"Retrosheet",189
"ARI-20240412-0","2024-04-12",2024,"SLN","ARI",9,6,0,"Retrosheet",190
"LAN-20240412-0","2024-04-12",2024,"SDN","LAN",8,7,0,"Retrosheet",191
"MIA-20240412-0","2024-04-12",2024,"ATL","MIA",8,1,0,"Retrosheet",192
"NYN-20240412-0","2024-04-12",2024,"KCA","NYN",1,6,1,"Retrosheet",193
"PHI-20240412-0","2024-04-12",2024,"PIT","PHI",5,2,0,"Retrosheet",194
"BAL-20240412-0","2024-04-12",2024,"MIL","BAL",11,1,0,"Retrosheet",195
"BOS-20240412-0","2024-04-12",2024,"ANA","BOS",7,0,0,"Retrosheet",196
"CHA-20240412-0","2024-04-12",2024,"CIN","CHA",11,1,0,"Retrosheet",197
"DET-20240412-0","2024-04-12",2024,"MIN","DET",2,8,1,"Retrosheet",198
"HOU-20240412-0","2024-04-12",2024,"TEX","HOU",12,8,0,"Retrosheet",199
"OAK-20240412-0","2024-04-12",2024,"WAS","OAK",1,2,1,"Retrosheet",200
"SEA-20240412-0","2024-04-12",2024,"CHN","SEA",2,4,1,"Retrosheet",201
"TBA-20240412-0","2024-04-12",2024,"SFN","TBA",1,2,1,"Retrosheet",202
"TOR-20240412-0","2024-04-12",2024,"COL","TOR",12,4,0,"Retrosheet",203
"ARI-20240413-0","2024-04-13",2024,"SLN","ARI",2,4,1,"Retrosheet",204
"LAN-20240413-0","2024-04-13",2024,"SDN","LAN",2,5,1,"Retrosheet",205
"MIA-20240413-0","2024-04-13",2024,"ATL","MIA",1,5,1,"Retrosheet",206
"NYN-20240413-0","2024-04-13",2024,"KCA","NYN",11,7,0,"Retrosheet",207
"PHI-20240413-0","2024-04-13",2024,"PIT","PHI",3,4,1,"Retrosheet",208
"BAL-20240413-0","2024-04-13",2024,"MIL","BAL",11,5,0,"Retrosheet",209
"BOS-20240413-0","2024-04-13",2024,"ANA","BOS",2,7,1,"Retrosheet",210
"CHA-20240413-0","2024-04-13",2024,"CIN","CHA",5,0,0,"Retrosheet",211
"CLE-20240413-1","2024-04-13",2024,"NYA","CLE",3,2,0,"Retrosheet",212
"CLE-20240413-2","2024-04-13",2024,"NYA","CLE",8,2,0,"Retrosheet",213
"DET-20240413-1","2024-04-13",2024,"MIN","DET",11,5,0,"Retrosheet",214
"DET-20240413-2","2024-04-13",2024,"MIN","DET",4,1,0,"Retrosheet",215
"HOU-20240413-0","2024-04-13",2024,"TEX","HOU",2,9,1,"Retrosheet",216
"OAK-20240413-0","2024-04-13",2024,"WAS","OAK",3,1,0,"Retrosheet",217
"SEA-20240413-0","2024-04-13",2024,"CHN","SEA",4,1,0,"Retrosheet",218
"TBA-20240413-0","2024-04-13",2024,"SFN","TBA",11,2,0,"Retrosheet",219
